vente_id,date,pharmacie,medicament,classe_therapeutique,prix_unitaire,remboursable,quantite
V0047,2026-01-01,Grande Pharmacie,Amlodipine 5mg,Antihypertenseur,4.3,Oui,27
V0069,2026-01-01,Grande Pharmacie,Levothyrox 75µg,Hormone thyroïdienne,3.37,Oui,35
V0048,2026-01-02,Pharmacie de la Gare,Vitamine D3,Supplément,6.25,Non,7
V0117,2026-01-02,,Amoxicilline 1g,Antibiotique,5.09,Oui,7
V0071,2026-01-03,Grande Pharmacie,Ventoline 100µg,Bronchodilatateur,4.52,Oui,10
V0076,2026-01-04,Pharmacie Saint-Marc,Amlodipine 5mg,Antihypertenseur,4.26,Oui,33
V0118,2026-01-06,Pharmacie de la Gare,Strepsils,ORL,5.44,Non,33
V0033,2026-01-07,Pharmacie du Centre,Magnésium B6,Supplément,7.76,Non,12
V0068,2026-01-10,Pharmacie du Centre,Vitamine D3,Supplément,6.35,Non,24
V0115,2026-01-10,Pharmacie des Halles,Spasfon,Antispasmodique,2.06,Non,15
V0067,2026-01-12,Pharmacie des Halles,Amoxicilline 1g,Antibiotique,5.18,Oui,34
V0077,2026-01-12,Pharmacie du Centre,Magnésium B6,Supplément,7.83,Non,20
V0070,2026-01-13,Pharmacie Saint-Marc,Strepsils,ORL,5.54,Non,25
V0019,2026-01-15,Pharmacie des Halles,Amlodipine 5mg,Antihypertenseur,4.17,Oui,33
V0006,2026-01-18,Pharmacie du Centre,Ventoline 100µg,Bronchodilatateur,4.43,Oui,35
V0063,2026-01-21,Pharmacie du Centre,Amlodipine 5mg,Antihypertenseur,4.21,Oui,16
V0055,2026-01-24,Pharmacie de la Gare,Ventoline 100µg,Bronchodilatateur,4.4,Oui,8
V0072,2026-01-24,Pharmacie Saint-Marc,Amlodipine 5mg,Antihypertenseur,4.26,Oui,38
V0023,2026-01-25,Grande Pharmacie,Augmentin 1g,Antibiotique,8.07,Oui,35
V0081,2026-01-25,Pharmacie Saint-Marc,Lantus 100UI,Antidiabétique,39.29,Oui,6
V0042,2026-02-04,Pharmacie Saint-Marc,Gaviscon menthe,Antiacide,5.28,Non,40
V0078,2026-02-04,Pharmacie Saint-Marc,Amoxicilline 1g,Antibiotique,5.12,Oui,21
V0108,2026-02-07,,Spasfon,Antispasmodique,2.06,Non,28
V0038,2026-02-11,Pharmacie des Halles,Lantus 100UI,Antidiabétique,38.66,Oui,34
V0037,2026-02-12,Pharmacie du Centre,Metformine 1000mg,Antidiabétique,4.57,Oui,12
V0028,2026-02-13,Grande Pharmacie,Vitamine D3,Supplément,6.48,Non,1
V0036,2026-02-13,Grande Pharmacie,Amoxicilline 1g,Antibiotique,5.11,Oui,18
V0086,2026-02-14,Pharmacie Saint-Marc,Magnésium B6,Supplément,7.87,Non,18
V0025,2026-02-18,Pharmacie des Halles,Strepsils,ORL,5.52,Non,15
V0061,2026-02-18,Pharmacie Saint-Marc,Gaviscon menthe,Antiacide,5.27,Non,3
V0088,2026-02-18,Grande Pharmacie,Levothyrox 75µg,Hormone thyroïdienne,3.38,Oui,8
V0120,2026-02-18,Pharmacie des Halles,Gaviscon menthe,Antiacide,5.28,Non,28
V0114,2026-02-22,Grande Pharmacie,Amoxicilline 1g,Antibiotique,5.1,Oui,10
V0035,2026-02-26,Grande Pharmacie,Doliprane 1000mg,Antalgique,2.23,Oui,34
V0011,2026-02-27,Pharmacie du Centre,Vitamine D3,Supplément,6.48,Non,4
